source,title,price,location,size,listing_type,link
OpenSooq,Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,"244,000 OMR",", Salala, 919595XX",164 m²,Property for Sale,https://om.opensooq.com/en/search/265451885
OpenSooq,Residential Land for Sale in Muscat Amerat,"33,000 OMR",", Amerat, 997282XX",,Property for Sale,https://om.opensooq.com/en/search/263776643
OpenSooq,71 m2 1 Bedroom Apartments for Sale in Dhofar Salala,"32,800 OMR",", Salala, 955588XX",71 m²,Property for Sale,https://om.opensooq.com/en/search/266841787
OpenSooq,353 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"82,000 OMR",", Amerat, 917458XX",353 m²,Property for Sale,https://om.opensooq.com/en/search/266514335
OpenSooq,3-Bedroom Villa with Stunning Sea View for Sale in Jebel Sifah – Private Pool & Garden,"250,000 OMR",", Al-Sifah, 919595XX",153 m²,Property for Sale,https://om.opensooq.com/en/search/266894797
OpenSooq,Residential Land for Sale in Muscat Amerat,"14,000 OMR",", Amerat, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/266459191
OpenSooq,Commercial Land for Sale in Al Batinah Al Rumais,"125,000 OMR",", Al Rumais, 995363XX",,Property for Sale,https://om.opensooq.com/en/search/265194461
OpenSooq,325 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"65,000 OMR",", Amerat, 991776XX",325 m²,Property for Sale,https://om.opensooq.com/en/search/266736211
OpenSooq,Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"375,000 OMR",", Madinat As Sultan Qaboos, 977788XX",,Property for Sale,https://om.opensooq.com/en/search/266066965
OpenSooq,54 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"23,000 OMR",", Al Khoud, 933322XX",54 m²,Property for Sale,https://om.opensooq.com/en/search/266089253
OpenSooq,Residential Land for Sale in Muscat Amerat,"3,800 OMR",", Amerat, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/266458941
OpenSooq,147 m2 3 Bedrooms Villa for Sale in Muscat Seeb,"111,700 OMR",", Seeb, 914888XX",147 m²,Property for Sale,https://om.opensooq.com/en/search/266894437
OpenSooq,Commercial Land for Sale in Al Batinah Saham,"95,000 OMR",", Saham, 911195XX",,Property for Sale,https://om.opensooq.com/en/search/263694835
OpenSooq,Residential Land for Sale in Muscat Bosher,"32,000 OMR",", Bosher, 994280XX",,Property for Sale,https://om.opensooq.com/en/search/262617861
OpenSooq,107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"88,740 OMR",", Al Mouj, 939918XX",107 m²,Property for Sale,https://om.opensooq.com/en/search/265779157
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266842973
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266844547
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266880075
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"24,400 OMR",", Seeb, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266880245
OpenSooq,369 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"79,000 OMR",", Amerat, 917458XX",369 m²,Property for Sale,https://om.opensooq.com/en/search/266298183
OpenSooq,2 Bedrooms Sea View Villa in Jebel Sifah  فيلا غرفتين على البحر في جبل سيفة للبيع,"265,000 OMR",", Al-Sifah, 919595XX",129 m²,Property for Sale,https://om.opensooq.com/en/search/266893495
OpenSooq,Residential Land for Sale in Muscat Al Khoud,"99,999 OMR",", Al Khoud, 942427XX",,Property for Sale,https://om.opensooq.com/en/search/265980659
